ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
111,ExJam09,ExJam09 Jams,Expert,Single,17,La Morale De La Fable,190,3888,289,6.08,207,0,0,51,0.7163,0.7841,4.06,10.88,11.21,7 15 23 7 23 7 16 (15) 41 (2) 12 (2) 8 (32) 48,190,140.2699595,11,110,1,364,500,864,419,6000,1000,6864,7864,
112,TYLR,SHARPNELSTREAMZ v3 Part 2,Expert,Single,17,Difficulty-G,191,2815,203,4.24,141,0,0,24,0.6946,0.8393,5.88,11.23,12.2,7 (2) 6 8 (2) 14 15 (2) 6 (2) 6 (2) 6 (2) 7 14 (2) 14 (2) 14 (2) 6 (2) 6 (2) 6 (2) 6,190,106.5336163,7,110,1,387,300,687,0,6000,1000,6687,7687,
113,Chief Skittles,Skittles Stream Collection,Expert,Single,17,Whispers In The Dark,203,3489,306,6.03,212,0,0,65,0.6928,0.7571,3.26,10.54,10.54,16 (17) 22 40 (16) 7 32 (32) 23 72,200,135.8254194,10,110,1,660,450,1110,1000,6000,1000,7110,8110,
114,ITGAlex & Aoreo,ITGAlex's Stamina Safari,Expert,Single,17,Little Lies,205,3072,277,5.4,169,0,0,73,0.6101,0.6815,2.32,10.25,10.41,17 7 6 (2) 23 (7) 2 (28) 3 27 10 (6) 28 (26) 4 (2) 23 6 (2) 7 6,200,91.5023148,6,110,1,705,250,955,634,6000,1000,6955,7955,
115,Zaia,Helblinde PDTA,Expert,Single,17,Yui & I,208,3158,287,5.51,164,0,0,97,0.5714,0.6189,1.69,10.07,10.14,8 7 32 (15) 1 (46) 4 (2) 14 (2) 15 (5) 31 (25) 4 (2) 1 31 16,200,76.10910595,4,110,1,773,150,923,558,6000,1000,6923,7923,
116,ITGAlex,ITGAlex's Stamina Safari,Expert,Single,17,New Odyssey,204,2945,242,4.75,162,0,0,44,0.6694,0.7788,3.68,10.79,11.28,31 (2) 32 (32) 14 (2) 32 15 (8) 7 31,200,108.5916728,8,110,1,682,350,1032,816,6000,1000,7032,8032,
117,Aoreo,Jimmy Jawns 4,Expert,Single,17,Unsainted,210,2380,201,3.83,123,0,0,32,0.6119,0.7834,3.84,11.02,11.8,23 16 (2) 23 16 (28) 14 (2) 31,210,83.22979386,5,110,1,819,200,1019,785,6000,1000,7019,8019,
118,Okami,Stamina Selects,Expert,Single,17,Outbreak (P*Light & DJ Myosuke Remix),210,2414,226,4.3,117,0,0,58,0.5177,0.6126,2.02,9.51,10.34,1 1 1 (10) 7 7 7 7 (7) 1 6 (2) 7 7 7 8 (30) 1 7 7 7 7 (7) 1 6 (2) 3 3 8,210,53.41571545,2,110,1,819,50,869,431,6000,1000,6869,7869,
119,Zaia,Rebuild of Sharpnel,Expert,Single,17,Zap Your Channel,212,2125,167,3.15,107,0,0,40,0.6407,0.6859,2.67,11.45,11.62,7 7 (9) 7 7 7 8 (4) 7 7 (25) 15 7 (2) 7 7 7 7,210,58.53303755,3,110,1,864,100,964,655,6000,1000,6964,7964,
120,Kyy,Kyypakkaus 2,Expert,Single,17,Goblin Humpa,218,1739,153,2.81,79,0,0,50,0.5163,0.594,1.58,10.53,11.3,3 3 2 (2) 11 12 (2) 1 (4) 2 (2) 3 2 (2) 11 (9) 12 (11) 2 (2) 3 (16) 12,210,34.33091695,1,110,1,1000,0,1000,740,6000,1000,7000,8000,
